Date,PX_LAST
12/31/2018,3.8812
12/28/2018,3.8764
12/27/2018,3.8745
12/26/2018,3.9272
12/24/2018,3.9046
12/21/2018,3.8986
12/20/2018,3.8443
12/19/2018,3.8962
12/18/2018,3.9092
12/17/2018,3.9023
12/14/2018,3.9125
12/13/2018,3.8907
12/12/2018,3.8537
12/11/2018,3.9
12/10/2018,3.923
12/7/2018,3.9065
12/6/2018,3.8825
12/5/2018,3.8657
12/4/2018,3.8493
12/3/2018,3.8443
11/30/2018,3.8671
11/29/2018,3.8526
11/28/2018,3.8541
11/27/2018,3.8764
11/26/2018,3.9324
11/23/2018,3.828
11/22/2018,3.8042
11/21/2018,3.7975
11/20/2018,3.7571
11/19/2018,3.7606
11/16/2018,3.7393
11/14/2018,3.786
11/13/2018,3.8095
11/12/2018,3.7653
11/9/2018,3.7299
11/8/2018,3.7606
11/7/2018,3.7378
11/6/2018,3.7643
11/5/2018,3.7282
11/1/2018,3.7018
10/31/2018,3.724
10/30/2018,3.6988
10/29/2018,3.7199
10/26/2018,3.6421
10/25/2018,3.7052
10/24/2018,3.7332
10/23/2018,3.6948
10/22/2018,3.6858
10/19/2018,3.7108
10/18/2018,3.7232
10/17/2018,3.6871
10/16/2018,3.7244
10/15/2018,3.7364
10/11/2018,3.78
10/10/2018,3.7561
10/9/2018,3.7143
10/8/2018,3.7794
10/5/2018,3.8398
10/4/2018,3.8752
10/3/2018,3.9026
10/2/2018,3.9409
10/1/2018,4.0194
9/28/2018,4.0504
9/27/2018,4.0116
9/26/2018,4.0332
9/25/2018,4.0747
9/24/2018,4.0905
9/21/2018,4.0501
9/20/2018,4.0768
9/19/2018,4.1273
9/18/2018,4.1622
9/17/2018,4.1335
9/14/2018,4.173
9/13/2018,4.2071
9/12/2018,4.1602
9/11/2018,4.1531
9/10/2018,4.0851
9/6/2018,4.0559
9/5/2018,4.1459
9/4/2018,4.16
9/3/2018,4.1588
8/31/2018,4.0551
8/30/2018,4.1504
8/29/2018,4.1063
8/28/2018,4.1374
8/27/2018,4.0817
8/24/2018,4.1045
8/23/2018,4.1146
8/22/2018,4.0433
8/21/2018,4.0491
8/20/2018,3.9699
8/17/2018,3.91
8/16/2018,3.9048
8/15/2018,3.9055
8/14/2018,3.8673
8/13/2018,3.8841
8/10/2018,3.8642
8/9/2018,3.801
8/8/2018,3.7722
8/7/2018,3.7525
8/6/2018,3.7359
8/3/2018,3.7071
8/2/2018,3.7501
8/1/2018,3.7502
7/31/2018,3.7572
7/30/2018,3.7307
7/27/2018,3.7115
7/26/2018,3.7473
7/25/2018,3.6911
7/24/2018,3.7491
7/23/2018,3.7837
7/20/2018,3.7697
7/19/2018,3.8315
7/18/2018,3.8484
7/17/2018,3.8386
7/16/2018,3.8605
7/13/2018,3.8503
7/12/2018,3.8816
7/11/2018,3.8759
7/10/2018,3.8143
7/9/2018,3.873
7/6/2018,3.8627
7/5/2018,3.9311
7/4/2018,3.9137
7/3/2018,3.8972
7/2/2018,3.9114
6/29/2018,3.8769
6/28/2018,3.8615
6/27/2018,3.861
6/26/2018,3.8019
6/25/2018,3.7744
6/22/2018,3.7854
6/21/2018,3.7681
6/20/2018,3.7724
6/19/2018,3.7466
6/18/2018,3.7448
6/15/2018,3.7296
6/14/2018,3.8062
6/13/2018,3.7217
6/12/2018,3.7201
6/11/2018,3.7114
6/8/2018,3.7083
6/7/2018,3.9071
6/6/2018,3.851
6/5/2018,3.8094
6/4/2018,3.7456
6/1/2018,3.7655
5/30/2018,3.7239
5/29/2018,3.7276
5/28/2018,3.7375
5/25/2018,3.6536
5/24/2018,3.6474
5/23/2018,3.6288
5/22/2018,3.648
5/21/2018,3.6771
5/18/2018,3.7375
5/17/2018,3.6972
5/16/2018,3.6747
5/15/2018,3.6553
5/14/2018,3.6221
5/11/2018,3.6002
5/10/2018,3.5496
5/9/2018,3.5926
5/8/2018,3.5632
5/7/2018,3.5503
5/4/2018,3.5285
5/3/2018,3.5272
5/2/2018,3.5518
4/30/2018,3.5063
4/27/2018,3.4578
4/26/2018,3.4753
4/25/2018,3.4848
4/24/2018,3.4724
4/23/2018,3.4525
4/20/2018,3.4135
4/19/2018,3.3849
4/18/2018,3.3802
4/17/2018,3.4078
4/16/2018,3.4187
4/13/2018,3.423
4/12/2018,3.4129
4/11/2018,3.3745
4/10/2018,3.4098
4/9/2018,3.4219
4/6/2018,3.3694
4/5/2018,3.3457
4/4/2018,3.3303
4/3/2018,3.341
4/2/2018,3.3132
3/29/2018,3.3063
3/28/2018,3.3216
3/27/2018,3.3262
3/26/2018,3.3143
3/23/2018,3.3123
3/22/2018,3.3147
3/21/2018,3.273
3/20/2018,3.3115
3/19/2018,3.2867
3/16/2018,3.2802
3/15/2018,3.2862
3/14/2018,3.261
3/13/2018,3.2613
3/12/2018,3.2616
3/9/2018,3.2555
3/8/2018,3.2645
3/7/2018,3.2433
3/6/2018,3.2109
3/5/2018,3.243
3/2/2018,3.2532
3/1/2018,3.2515
2/28/2018,3.2475
2/27/2018,3.2505
2/26/2018,3.2249
2/23/2018,3.2389
2/22/2018,3.2517
2/21/2018,3.2663
2/20/2018,3.2527
2/19/2018,3.2335
2/16/2018,3.2311
2/15/2018,3.2317
2/14/2018,3.2246
2/9/2018,3.3011
2/8/2018,3.2857
2/7/2018,3.272
2/6/2018,3.2349
2/5/2018,3.2534
2/2/2018,3.2191
2/1/2018,3.17
1/31/2018,3.1875
1/30/2018,3.1812
1/29/2018,3.1555
1/26/2018,3.1478
1/25/2018,3.1486
1/24/2018,3.1418
1/23/2018,3.2385
1/22/2018,3.2038
1/19/2018,3.1964
1/18/2018,3.2109
1/17/2018,3.2223
1/16/2018,3.2241
1/15/2018,3.2154
1/12/2018,3.2054
1/11/2018,3.214
1/10/2018,3.2352
1/9/2018,3.2492
1/8/2018,3.2368
1/5/2018,3.2293
1/4/2018,3.2309
1/3/2018,3.238
1/2/2018,3.2616
